District,year,Season,temperature,temperature_max,temperature_min,humidity,rainfall
Thiruvarur,2020,Summer,29.9,41.2,21.5,69.5,71.0
Thiruvarur,2021,Kharif,29.9,39.6,24.0,67.6,364.0
Thiruvarur,2021,Rabi,25.4,33.0,18.0,83.4,1203.0
Thiruvarur,2021,Summer,29.3,40.8,19.8,71.5,106.0
Thiruvarur,2022,Kharif,29.2,38.8,22.4,71.0,397.0
Thiruvarur,2022,Rabi,25.5,35.8,18.7,81.2,806.0
Thiruvarur,2022,Summer,29.2,40.2,20.5,72.7,120.0
Thiruvarur,2023,Kharif,30.1,39.9,24.0,69.8,453.0
Thiruvarur,2023,Rabi,25.6,36.3,17.3,81.4,1081.0
Thiruvarur,2023,Summer,29.1,38.8,21.2,73.6,180.0
Thiruvarur,2024,Kharif,29.9,39.2,24.5,70.4,469.0
Thiruvarur,2024,Rabi,26.2,36.5,18.6,82.9,1344.0
Thiruvarur,2024,Summer,29.6,39.9,21.7,75.3,630.0
Thiruvarur,2025,Kharif,29.8,39.2,23.8,68.0,365.0
Thiruvarur,2025,Rabi,25.7,35.0,17.8,81.7,878.0
Thiruvarur,2025,Summer,29.3,38.2,21.0,74.2,203.0
Tirunelveli,2020,Kharif,29.8,40.0,23.0,62.1,232.0
Tirunelveli,2020,Rabi,26.9,39.5,20.0,71.8,652.0
Tirunelveli,2020,Summer,30.3,40.5,23.0,63.6,116.0
Tirunelveli,2021,Kharif,29.9,39.4,22.5,60.7,146.0
Tirunelveli,2021,Rabi,25.9,37.7,19.5,77.6,1053.0
Tirunelveli,2021,Summer,29.4,41.2,21.0,65.7,239.0
Tirunelveli,2022,Kharif,29.4,40.0,22.8,62.5,400.0
Tirunelveli,2022,Rabi,26.7,37.8,20.2,72.6,691.0
Tirunelveli,2022,Summer,29.8,41.5,21.4,62.9,202.0
Tirunelveli,2023,Kharif,30.7,41.2,23.4,58.9,258.0
Tirunelveli,2023,Rabi,26.2,36.5,18.4,75.6,1438.0
Tirunelveli,2023,Summer,30.2,41.7,22.0,62.3,216.0
Tirunelveli,2024,Kharif,30.0,38.9,23.8,63.1,284.0
Tirunelveli,2024,Rabi,26.9,38.0,19.2,76.0,692.0
Tirunelveli,2024,Summer,30.3,43.2,21.7,65.8,321.0
Tirunelveli,2025,Kharif,30.0,41.1,23.7,60.0,202.0
Tirunelveli,2025,Rabi,26.3,39.2,18.9,74.9,924.0
Tirunelveli,2025,Summer,30.0,41.8,20.6,64.5,272.0
Tiruppur,2020,Kharif,26.5,36.2,21.8,77.3,386.0
Tiruppur,2020,Rabi,26.2,36.3,17.9,67.6,415.0
Tiruppur,2020,Summer,30.7,40.4,22.4,56.0,62.0
Tiruppur,2021,Kharif,26.4,37.4,20.9,77.0,334.0
Tiruppur,2021,Rabi,25.1,38.1,17.8,75.1,827.0
